feature_id,feature_name,classification,evidence,release_scope,notes
foundation.logo,Official Qelly logo system,Implemented and Connected,"PR #13 merged; browser evidence",must-launch,"Connected to application shell and assets"
foundation.typography,IBM Plex Sans Variable,Implemented and Connected,"Typography governance workflows and public font probe",must-launch,"Canonical local font"
foundation.theme-intelligence,Theme Intelligence and 13 themes,Implemented and Connected,"Theme specialist workflow",must-launch,"Frozen visual foundation"
foundation.asset-rankings,Asset Rankings responsive interface,Implemented and Connected,"UI and browser artifacts",must-launch,"Existing data truth remains unchanged"
beta.truth-state,Canonical capability truth states,Implemented Deterministically,"13-state schema module and tests",must-launch,"Feature adoption remains Prompt 2 work"
beta.evidence-metadata,Source freshness lineage metadata,Implemented Deterministically,"Schema and tests",must-launch,"Provider adoption remains pending"
beta.environment-model,Local test preview staging production model,Implemented Deterministically,"Config and tests",must-launch,"No production credentials included"
beta.feature-flags,Governed feature flags and kill boundaries,Implemented Deterministically,"Config and tests",must-launch,"Execution and custody hard-disabled"
beta.provider-interface,Provider adapter interface,Implemented Deterministically,"Timeout abort health kill-switch contract and tests",must-launch,"No real provider connected"
beta.observability,Redacted observability event interface,Implemented Deterministically,"Module and tests",should-launch,"Backend sink planned"
beta.migration-rollback,Migration rollback and release dependency structure,Implemented Deterministically,"Architecture documents and release graph",must-launch,"No operational migration introduced"
beta.inventory,Baseline route API schema and contract inventories,Implemented Deterministically,"61 routes; 276 API references; 67 schemas; 187 server contracts; 17 families",must-launch,"Counts are not connectivity proof"
providers.market-data,Connected market-data providers,Planned,"No authorized integration test",should-launch,"Terms quotas authorization and redistribution require current verification"
connections.read-only,Read-only wallet broker exchange connections,Planned,"No authorization flow",should-launch,"Prompt 2 scope"
paper-trading,Deterministic paper-trading engine,Planned,"No Prompt 1 implementation evidence",post-launch,"Prompt 2 scope"
marketplace,EA and strategy marketplace,Planned,"No executable marketplace evidence",post-launch,"Prompt 2 scope"
execution.real-money,Real-money trading,Deliberately Disabled,"Runtime safety invariant",deliberately-disabled,"Requires separate explicit program"
custody,Custody deposits and withdrawals,Deliberately Disabled,"Runtime safety invariant",deliberately-disabled,"Excluded from public beta"
secrets.wallet,Private-key and seed-phrase storage,Deliberately Disabled,"Runtime safety invariant",deliberately-disabled,"Never request or store"
deployment.github-pages,GitHub Pages static visual preview,Implemented and Connected,"Deployment 5654166920 on commit 46233298031372c51bb433229bd7f9d1aff70568; public resource probes",must-launch,"Public static/read-only preview; not connected full production"
